6.8790 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
120.5105 	EXP 	New trial (rep=49, index=0): None
120.5182 	DATA 	Keypress: up
120.5213 	EXP 	fixation: autoDraw = False
120.5213 	EXP 	grating: autoDraw = False
120.5213 	EXP 	grating: ori = 2.0
120.5213 	EXP 	fixation: autoDraw = True
121.5193 	EXP 	grating: autoDraw = True
121.5360 	EXP 	fixation: autoDraw = False
121.8190 	EXP 	grating: autoDraw = False
122.5688 	EXP 	New trial (rep=50, index=0): None
122.5751 	DATA 	Keypress: up
122.5784 	EXP 	fixation: autoDraw = False
122.5784 	EXP 	grating: autoDraw = False
122.5784 	EXP 	grating: ori = 0.0
122.5784 	EXP 	fixation: autoDraw = True
123.5690 	EXP 	grating: autoDraw = True
123.5858 	EXP 	fixation: autoDraw = False
123.8687 	EXP 	grating: autoDraw = False
124.6601 	EXP 	New trial (rep=51, index=0): None
124.6658 	DATA 	Keypress: up
124.6693 	EXP 	fixation: autoDraw = False
124.6693 	EXP 	grating: autoDraw = False
124.6693 	EXP 	grating: ori = 0.0
124.6693 	EXP 	fixation: autoDraw = True
125.6687 	EXP 	fixation: autoDraw = False
125.6687 	EXP 	grating: autoDraw = True
125.9684 	EXP 	grating: autoDraw = False
126.9595 	EXP 	New trial (rep=52, index=0): None
126.9658 	DATA 	Keypress: up
126.9794 	EXP 	fixation: autoDraw = False
126.9794 	EXP 	grating: autoDraw = False
126.9794 	EXP 	grating: ori = 0.0
126.9794 	EXP 	fixation: autoDraw = True
127.9683 	EXP 	grating: autoDraw = True
127.9851 	EXP 	fixation: autoDraw = False
128.2682 	EXP 	grating: autoDraw = False
129.1943 	EXP 	New trial (rep=53, index=0): None
129.2006 	DATA 	Keypress: up
129.2038 	EXP 	fixation: autoDraw = False
129.2038 	EXP 	grating: autoDraw = False
129.2038 	EXP 	grating: ori = 2.0
129.2038 	EXP 	fixation: autoDraw = True
130.2015 	EXP 	grating: autoDraw = True
130.2181 	EXP 	fixation: autoDraw = False
130.5011 	EXP 	grating: autoDraw = False
131.2547 	DATA 	Keypress: up
131.2763 	EXP 	New trial (rep=54, index=0): None
131.2850 	EXP 	fixation: autoDraw = False
131.2850 	EXP 	grating: autoDraw = False
131.2850 	EXP 	grating: ori = 1.0
131.2850 	EXP 	fixation: autoDraw = True
132.2847 	EXP 	fixation: autoDraw = False
132.2847 	EXP 	grating: autoDraw = True
132.5843 	EXP 	grating: autoDraw = False
133.2264 	EXP 	New trial (rep=55, index=0): None
133.2318 	DATA 	Keypress: up
133.2351 	EXP 	fixation: autoDraw = False
133.2351 	EXP 	grating: autoDraw = False
133.2351 	EXP 	grating: ori = 2.0
133.2351 	EXP 	fixation: autoDraw = True
134.2344 	EXP 	fixation: autoDraw = False
134.2344 	EXP 	grating: autoDraw = True
134.5338 	EXP 	grating: autoDraw = False
135.0204 	DATA 	Keypress: up
135.0422 	EXP 	New trial (rep=56, index=0): None
135.0505 	EXP 	fixation: autoDraw = False
135.0505 	EXP 	grating: autoDraw = False
135.0505 	EXP 	grating: ori = -2.0
135.0505 	EXP 	fixation: autoDraw = True
136.0503 	EXP 	fixation: autoDraw = False
136.0503 	EXP 	grating: autoDraw = True
136.3504 	EXP 	grating: autoDraw = False
137.1417 	EXP 	New trial (rep=57, index=0): None
137.1478 	DATA 	Keypress: down
137.1511 	EXP 	fixation: autoDraw = False
137.1511 	EXP 	grating: autoDraw = False
137.1511 	EXP 	grating: ori = 2.0
137.1511 	EXP 	fixation: autoDraw = True
138.1506 	EXP 	fixation: autoDraw = False
138.1506 	EXP 	grating: autoDraw = True
138.4503 	EXP 	grating: autoDraw = False
139.4382 	EXP 	New trial (rep=58, index=0): None
139.4414 	DATA 	Keypress: down
139.4498 	EXP 	fixation: autoDraw = False
139.4498 	EXP 	grating: autoDraw = False
139.4498 	EXP 	grating: ori = 0.0
139.4498 	EXP 	fixation: autoDraw = True
140.4501 	EXP 	fixation: autoDraw = False
140.4501 	EXP 	grating: autoDraw = True
140.7499 	EXP 	grating: autoDraw = False
141.1414 	EXP 	New trial (rep=59, index=0): None
141.1642 	DATA 	Keypress: up
141.1678 	EXP 	fixation: autoDraw = False
141.1678 	EXP 	grating: autoDraw = False
141.1678 	EXP 	grating: ori = 0.0
141.1678 	EXP 	fixation: autoDraw = True
142.1499 	EXP 	grating: autoDraw = True
142.1832 	EXP 	fixation: autoDraw = False
142.4496 	EXP 	grating: autoDraw = False
142.9243 	EXP 	New trial (rep=60, index=0): None
142.9305 	DATA 	Keypress: up
142.9339 	EXP 	fixation: autoDraw = False
142.9339 	EXP 	grating: autoDraw = False
142.9339 	EXP 	grating: ori = 0.0
142.9339 	EXP 	fixation: autoDraw = True
143.9330 	EXP 	fixation: autoDraw = False
143.9330 	EXP 	grating: autoDraw = True
144.2329 	EXP 	grating: autoDraw = False
144.6249 	EXP 	New trial (rep=61, index=0): None
144.6310 	DATA 	Keypress: down
144.6342 	EXP 	fixation: autoDraw = False
144.6342 	EXP 	grating: autoDraw = False
